TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Location,TimePoint,Date,Size
1786,SS,30,15,2,3,1786_3,Face,0,4/09/2020,1.234
1786,SS,30,15,2,4,1786_4,Face,0,4/09/2020,11.122
1786,SS,30,15,2,5,1786_5,Face,0,4/09/2020,1.668
1462,SF,30,15,2,1,1462_1,Face,0,4/09/2020,1.34
1719,SS,30,15,2,1,1719_1,Face,0,4/09/2020,1.182
1481,SF,31,16,2,1,1481_1,Side,0,4/09/2020,2.005
1481,SF,31,16,2,2,1481_2,Side,0,4/09/2020,7.255
1375,FS,31,16,2,1,1375_1,Side,0,4/09/2020,NA
1375,FS,31,16,2,2,1375_2,Side,0,4/09/2020,1.535
1178,FF,31,16,2,1,1178_1,Side,0,4/09/2020,4.178
1136,FF,33,17,3,1,1136_1,Top,0,4/09/2020,239.288
1136,FF,33,17,3,2,1136_2,Side,0,4/09/2020,NA
1136,FF,33,17,3,3,1136_3,Side,0,4/09/2020,NA
1371,FS,33,17,3,1,1371_1,Top,0,4/09/2020,2.556
1371,FS,33,17,3,2,1371_2,Top,0,4/09/2020,10.087
1371,FS,33,17,3,3,1371_3,Top,0,4/09/2020,NA
1371,FS,33,17,3,4,1371_4,Face,0,4/09/2020,5.131
1642,SS,33,17,3,1,1642_1,Face,0,4/09/2020,3.761
1031,FF,33,17,3,1,1031_1,Top,0,4/09/2020,309.897
1031,FF,33,17,3,2,1031_2,Top,0,4/09/2020,185.097
1616,SS,33,17,3,1,1616_1,Face,0,4/09/2020,3.286
1616,SS,33,17,3,2,1616_2,Face,0,4/09/2020,7.811
1635,SS,34,17,3,1,1635_1,Face,0,4/09/2020,5.349
3101,FF,35,18,3,1,3101_1,Face,0,4/09/2020,NA
1365,FS,35,18,3,1,1365_1,Face,0,4/09/2020,2.387
1265,FS,36,18,3,1,1265_1,Face,0,4/09/2020,9.125
1265,FS,36,18,3,2,1265_2,Face,0,4/09/2020,15.431
1716,SS,36,18,3,1,1716_1,Face,0,4/09/2020,2.018
1716,SS,36,18,3,2,1716_2,Face,0,4/09/2020,1.816
1469,SF,36,18,3,1,1469_1,Side,0,4/09/2020,2.46
1755,SS,37,19,3,1,1755_1,Face,0,4/09/2020,1.455
1494,SF,38,19,3,1,1494_1,Face,0,4/09/2020,2.777
1494,SF,38,19,3,2,1494_2,Face,0,4/09/2020,2.072
1494,SF,38,19,3,3,1494_3,Face,0,4/09/2020,7.006
1792,SS,38,19,3,1,1792_1,Face,0,4/09/2020,2.944
1614,SS,38,19,3,1,1614_1,Side,0,4/09/2020,3.666
1614,SS,38,19,3,2,1614_2,Face,0,4/09/2020,7.953
1614,SS,38,19,3,3,1614_3,Face,0,4/09/2020,7.412
1614,SS,38,19,3,4,1614_4,Face,0,4/09/2020,2.035
1614,SS,38,19,3,5,1614_5,Face,0,4/09/2020,30.46
1284,FS,39,20,3,1,1284_1,Side,0,4/09/2020,2.92
1284,FS,39,20,3,2,1284_2,Side,0,4/09/2020,7.424
1714,SS,40,20,3,1,1714_1,Face,0,4/09/2020,2.762
