TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Health,Location,TimePoint,Date,Survival,Colour,RelativeGrey,Month
1370,FS,23,12,2,5,1370_5,Good,Side,0,2020-09-04,1,7.857,1,Sep-20
1370,FS,23,12,2,6,1370_6,Good,Side,0,2020-09-04,1,7.826,1,Sep-20
1370,FS,23,12,2,7,1370_7,Good,Side,0,2020-09-04,1,7.886,1,Sep-20
1370,FS,23,12,2,8,1370_8,Good,Side,0,2020-09-04,1,7.94,1,Sep-20
1446,SF,23,12,2,1,1446_1,Good,Face,0,2020-09-04,1,8.062,1,Sep-20
1760,SS,23,12,2,1,1760_1,Good,Side,0,2020-09-04,1,7.279,1,Sep-20
1071,FF,24,12,2,1,1071_1,Good,Side,0,2020-09-04,1,9.439,1,Sep-20
1389,FS,25,13,2,1,1389_1,Good,Side,0,2020-09-04,1,8.559,1,Sep-20
1389,FS,25,13,2,2,1389_2,Good,Side,0,2020-09-04,1,8.278,1,Sep-20
1389,FS,25,13,2,4,1389_4,Good,Face,0,2020-09-04,1,6.457,1,Sep-20
1156,FF,25,13,2,1,1156_1,Good,Side,0,2020-09-04,1,9.101,1,Sep-20
3713,SS,25,13,2,1,3713_1,Good,Side,0,2020-09-04,1,7.745,1,Sep-20
3302,FS,25,13,2,1,3302_1,Good,Top,0,2020-09-04,1,7.957,1,Sep-20
3302,FS,25,13,2,2,3302_2,Good,Top,0,2020-09-04,1,8.192,1,Sep-20
3302,FS,25,13,2,3,3302_3,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1658,SS,25,13,2,1,1658_1,Good,Side,0,2020-09-04,1,7.591,1,Sep-20
1461,SF,26,13,2,1,1461_1,Good,Face,0,2020-09-04,1,7.522,1,Sep-20
1461,SF,26,13,2,2,1461_2,Good,Face,0,2020-09-04,1,8.005,1,Sep-20
1461,SF,26,13,2,3,1461_3,Good,Face,0,2020-09-04,1,7.531,1,Sep-20
1416,SF,26,13,2,1,1416_1,Good,Face,0,2020-09-04,1,8.422,1,Sep-20
1416,SF,26,13,2,3,1416_3,Good,Face,0,2020-09-04,1,8.124,1,Sep-20
1416,SF,26,13,2,4,1416_4,Good,Face,0,2020-09-04,1,8.284,1,Sep-20
1247,FS,26,13,2,1,1247_1,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1349,FS,27,14,2,1,1349_1,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1615,SS,29,15,2,1,1615_1,Good,Side,0,2020-09-04,1,8.499,1,Sep-20
1437,SF,29,15,2,1,1437_1,Good,Side,0,2020-09-04,1,6.806,1,Sep-20
1283,FS,29,15,2,1,1283_1,Good,Face,0,2020-09-04,1,9.87,1,Sep-20
1283,FS,29,15,2,2,1283_2,Good,Face,0,2020-09-04,1,9.871,1,Sep-20
1283,FS,29,15,2,3,1283_3,Good,Face,0,2020-09-04,1,9.583,1,Sep-20
1283,FS,29,15,2,4,1283_4,Good,Face,0,2020-09-04,1,10.365,1,Sep-20
1283,FS,30,15,2,5,1283_5,Good,Face,0,2020-09-04,1,9.866,1,Sep-20
1700,SS,30,15,2,1,1700_1,Good,Face,0,2020-09-04,1,6.986,1,Sep-20
1786,SS,30,15,2,1,1786_1,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1786,SS,30,15,2,2,1786_2,Good,Face,0,2020-09-04,1,8.959,1,Sep-20
1786,SS,30,15,2,3,1786_3,Good,Face,0,2020-09-04,1,8.849,1,Sep-20
1786,SS,30,15,2,4,1786_4,Good,Face,0,2020-09-04,1,8.758,1,Sep-20
1786,SS,30,15,2,5,1786_5,Good,Face,0,2020-09-04,1,8.981,1,Sep-20
1462,SF,30,15,2,1,1462_1,Good,Face,0,2020-09-04,1,7.104,1,Sep-20
1719,SS,30,15,2,1,1719_1,Good,Face,0,2020-09-04,1,8.393,1,Sep-20
1481,SF,31,16,2,1,1481_1,Good,Side,0,2020-09-04,1,7.619,1,Sep-20
1481,SF,31,16,2,2,1481_2,Good,Side,0,2020-09-04,1,8.273,1,Sep-20
1375,FS,31,16,2,1,1375_1,Good,Side,0,2020-09-04,1,8.317,1,Sep-20
1375,FS,31,16,2,2,1375_2,Good,Side,0,2020-09-04,1,8.483,1,Sep-20
1178,FF,31,16,2,1,1178_1,Good,Side,0,2020-09-04,1,8.706,1,Sep-20
1136,FF,33,17,3,1,1136_1,Good,Top,0,2020-09-04,1,7.939,1,Sep-20
1136,FF,33,17,3,2,1136_2,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1136,FF,33,17,3,3,1136_3,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1371,FS,33,17,3,1,1371_1,Good,Top,0,2020-09-04,1,8.865,1,Sep-20
1371,FS,33,17,3,2,1371_2,Good,Top,0,2020-09-04,1,8.252,1,Sep-20
1371,FS,33,17,3,3,1371_3,Good,Top,0,2020-09-04,1,8.37,1,Sep-20
1371,FS,33,17,3,4,1371_4,Good,Face,0,2020-09-04,1,7.951,1,Sep-20
1642,SS,33,17,3,1,1642_1,Good,Face,0,2020-09-04,1,8.885,1,Sep-20
1031,FF,33,17,3,1,1031_1,Good,Top,0,2020-09-04,1,8.666,1,Sep-20
1031,FF,33,17,3,2,1031_2,Good,Top,0,2020-09-04,1,7.966,1,Sep-20
1616,SS,33,17,3,1,1616_1,Good,Face,0,2020-09-04,1,9.133,1,Sep-20
1616,SS,33,17,3,2,1616_2,Good,Face,0,2020-09-04,1,8.735,1,Sep-20
1635,SS,34,17,3,1,1635_1,Good,Face,0,2020-09-04,1,7.421,1,Sep-20
3101,FF,35,18,3,1,3101_1,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1365,FS,35,18,3,1,1365_1,Good,Face,0,2020-09-04,1,7.766,1,Sep-20
1265,FS,36,18,3,1,1265_1,Good,Face,0,2020-09-04,1,8.548,1,Sep-20
1265,FS,36,18,3,2,1265_2,Good,Face,0,2020-09-04,1,8.489,1,Sep-20
1716,SS,36,18,3,1,1716_1,Good,Face,0,2020-09-04,1,8.039,1,Sep-20
1716,SS,36,18,3,2,1716_2,Good,Face,0,2020-09-04,1,6.987,1,Sep-20
1469,SF,36,18,3,1,1469_1,Good,Side,0,2020-09-04,1,8.289,1,Sep-20
1755,SS,37,19,3,1,1755_1,Good,Face,0,2020-09-04,1,7.687,1,Sep-20
1494,SF,38,19,3,1,1494_1,Good,Face,0,2020-09-04,1,7.436,1,Sep-20
1494,SF,38,19,3,2,1494_2,Good,Face,0,2020-09-04,1,7.889,1,Sep-20
1494,SF,38,19,3,3,1494_3,Good,Face,0,2020-09-04,1,7.642,1,Sep-20
1792,SS,38,19,3,1,1792_1,Good,Face,0,2020-09-04,1,7.195,1,Sep-20
1614,SS,38,19,3,1,1614_1,Good,Side,0,2020-09-04,1,8.715,1,Sep-20
1614,SS,38,19,3,2,1614_2,Good,Face,0,2020-09-04,1,8.479,1,Sep-20
1614,SS,38,19,3,3,1614_3,Good,Face,0,2020-09-04,1,8.814,1,Sep-20
1614,SS,38,19,3,4,1614_4,Good,Face,0,2020-09-04,1,8.802,1,Sep-20
1614,SS,38,19,3,5,1614_5,Good,Face,0,2020-09-04,1,8.114,1,Sep-20
1284,FS,39,20,3,1,1284_1,Good,Side,0,2020-09-04,1,7.822,1,Sep-20
1284,FS,39,20,3,2,1284_2,Good,Side,0,2020-09-04,1,7.812,1,Sep-20
1714,SS,40,20,3,1,1714_1,Good,Face,0,2020-09-04,1,8.864,1,Sep-20
1714,SS,40,20,3,2,1714_2,Good,Face,0,2020-09-04,1,9.583,1,Sep-20
1111,FF,40,20,3,1,1111_1,Good,Side,0,2020-09-04,1,8.588,1,Sep-20
1111,FF,40,20,3,2,1111_2,Good,Side,0,2020-09-04,1,8.495,1,Sep-20
1111,FF,40,20,3,3,1111_3,Good,Side,0,2020-09-04,1,8.591,1,Sep-20
1111,FF,40,20,3,4,1111_4,Good,Side,0,2020-09-04,1,9.005,1,Sep-20
1111,FF,40,20,3,5,1111_5,Good,Side,0,2020-09-04,1,9.006,1,Sep-20
1111,FF,40,20,3,6,1111_6,Good,Side,0,2020-09-04,1,9.054,1,Sep-20
1111,FF,40,20,3,7,1111_7,Good,Side,0,2020-09-04,1,9.184,1,Sep-20
